iter	Logloss
0	0.635407028
1	0.5950399963
2	0.5575440305
3	0.5234944521
4	0.4967750608
5	0.4721692906
6	0.4485078663
7	0.4259814887
8	0.4139709333
9	0.3965283638
10	0.3854308368
11	0.3713730333
12	0.3584898042
13	0.3463671421
14	0.3333227922
15	0.3242482918
16	0.3157525927
17	0.3097940054
18	0.3041503293
19	0.2976672037
20	0.2928391556
21	0.2868925171
22	0.2812087872
23	0.2730459479
24	0.2679964701
25	0.264180488
26	0.2588835433
27	0.2519189411
28	0.248462043
29	0.2433293848
30	0.2391649587
31	0.2371641452
32	0.2324437557
33	0.2283800392
34	0.223798583
35	0.2212636928
36	0.2178686983
37	0.2155360659
38	0.2118695259
39	0.2093356971
40	0.2055649824
41	0.2029712952
42	0.2020194964
43	0.2008122392
44	0.1974203602
45	0.1935975039
46	0.190026322
47	0.1876121011
48	0.1862343308
49	0.1835079731
50	0.1817960711
51	0.1797080357
52	0.1774290563
53	0.1743393603
54	0.1726537632
55	0.1708795919
56	0.1682246572
57	0.1668927158
58	0.1646720146
59	0.1636043386
60	0.1619887363
61	0.160177075
62	0.1587271761
63	0.1579415805
64	0.1562334368
65	0.1547172888
66	0.1532538185
67	0.1523095939
68	0.1509637395
69	0.1487349994
70	0.1475585718
71	0.1460045251
72	0.1444265656
73	0.1430543047
74	0.1424487252
75	0.1411808584
76	0.1400819488
77	0.1388467032
78	0.1370063161
79	0.1357361864
80	0.1346358274
81	0.133519492
82	0.1321043178
83	0.1309557443
84	0.1298662526
85	0.1283597547
86	0.1269768237
87	0.1262575425
88	0.1255450874
89	0.1245862001
90	0.123482837
91	0.1229347858
92	0.1220596985
93	0.1210324414
94	0.120177186
95	0.1186703734
96	0.1173965963
97	0.1163191244
98	0.1152592519
99	0.1142019192
100	0.1129357752
101	0.1116895012
102	0.1110885851
103	0.1104333559
104	0.1095451671
105	0.1086064155
106	0.1084060357
107	0.1072226472
108	0.1063329078
109	0.1049943875
110	0.1034920277
111	0.1026435333
112	0.1024669932
113	0.1015489034
114	0.1006456598
115	0.09955075356
116	0.09869610325
117	0.09786368577
118	0.09725138003
119	0.09645196514
120	0.0955962962
121	0.09484338996
122	0.09455696646
123	0.09333689512
124	0.09320573868
125	0.09256884578
126	0.09188206811
127	0.0911589976
128	0.09068012283
129	0.09050001235
130	0.09024066586
131	0.08982333461
132	0.08930232763
133	0.08840436235
134	0.08792298949
135	0.08700626291
136	0.08658945085
137	0.08591094295
138	0.0850474254
139	0.08430896658
140	0.08393408579
141	0.08342886567
142	0.08285631735
143	0.08221766094
144	0.08212092389
145	0.08170663118
146	0.08161530644
147	0.08103529417
148	0.08014838451
149	0.07977493291
150	0.07963321941
151	0.07894854681
152	0.07841774461
153	0.07763644701
154	0.07718491376
155	0.07645176247
156	0.0753718083
157	0.07507271335
158	0.07460241742
159	0.07425159586
160	0.07386601332
161	0.07334268805
162	0.07292441943
163	0.07232527083
164	0.07152603154
165	0.07119397404
166	0.07076614112
167	0.07066397557
168	0.07009123867
169	0.06968936252
170	0.06917604008
171	0.06888670081
172	0.06843240843
173	0.06803888773
174	0.06767014619
175	0.0671010754
176	0.066630289
177	0.06616712463
178	0.06589033852
179	0.06540188893
180	0.06457200533
181	0.06404449631
182	0.0637356276
183	0.06326797605
184	0.06316367907
185	0.06294185049
186	0.06252273462
187	0.06203800595
188	0.06181870248
189	0.06105115054
190	0.06091888209
191	0.06065638491
192	0.06031877396
193	0.06015045517
194	0.05986711843
195	0.05934090448
196	0.0589082638
197	0.05841678131
198	0.05829230623
199	0.05807507739
200	0.05772666497
201	0.05740625606
202	0.05707992119
203	0.05650688257
204	0.056460069
205	0.05610478671
206	0.0556099713
207	0.0554908039
208	0.05521506664
209	0.05491361803
210	0.05462560331
211	0.0545296031
212	0.0542952228
213	0.05401340681
214	0.05378800806
215	0.05337804234
216	0.05321253787
217	0.05260130998
218	0.05207637106
219	0.05154471807
220	0.05135524244
221	0.05099606279
222	0.05076751686
223	0.05042753346
224	0.0503188686
225	0.05005616876
226	0.05001669112
227	0.04945290079
228	0.04920176735
229	0.04907297855
230	0.04868501499
231	0.04855669926
232	0.04846271113
233	0.04826319754
234	0.04789333137
235	0.04747981642
236	0.04729479818
237	0.04708958672
238	0.04673113898
239	0.04653773939
240	0.0464536877
241	0.04642053987
242	0.04630743792
243	0.04608007953
244	0.04573174553
245	0.0454410031
246	0.04520419464
247	0.0450527503
248	0.04485712044
249	0.04431480952
250	0.04380948926
251	0.04334630878
252	0.04306191696
253	0.04280860308
254	0.04271429419
255	0.04252599838
256	0.04220083036
257	0.04199707926
258	0.04168194018
259	0.04163060748
260	0.04120442086
261	0.04096759446
262	0.04076223486
263	0.04074178043
264	0.04028690556
265	0.04012378057
266	0.04005203206
267	0.03969278408
268	0.03952391791
269	0.03934896758
270	0.03918101935
271	0.03910519873
272	0.03900119691
273	0.03864112022
274	0.03834495593
275	0.03815753188
276	0.03795579826
277	0.03769692587
278	0.0376756089
279	0.03741070644
280	0.03713999371
281	0.03693955255
282	0.03692043023
283	0.0366186668
284	0.03654546511
285	0.03646508779
286	0.03636067076
287	0.03613651738
288	0.03573566823
289	0.03562234842
290	0.03547676907
291	0.03512150074
292	0.03487070654
293	0.0345666133
294	0.03447682005
295	0.03424566508
296	0.03409350257
297	0.03388994457
298	0.03383629267
299	0.03376769187
